epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,21408.8,1.11218,0.8798,0.01261,0.80575,0.66712,0.76077,0.49131,1.37186,0.98605,0.02016,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,21685.4,1.10436,0.88148,0.0124,0.8059,0.66849,0.76093,0.4916,1.37057,0.98537,0.0201,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,21961,1.10069,0.86998,0.01239,0.80627,0.66719,0.75983,0.4921,1.36936,0.98425,0.02012,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,22237.6,1.08551,0.85248,0.01222,0.81308,0.66764,0.76086,0.49319,1.3694,0.9808,0.02011,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,22513.3,1.08641,0.84588,0.01211,0.81019,0.66699,0.76084,0.49365,1.3678,0.98191,0.02007,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,22790.5,1.07518,0.83309,0.01207,0.81132,0.6705,0.76284,0.49532,1.36659,0.97725,0.02006,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,23066.4,1.06071,0.81868,0.01186,0.80793,0.66905,0.76184,0.4965,1.36257,0.98335,0.01997,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,23342.5,1.06609,0.82687,0.01184,0.80761,0.67269,0.76241,0.49698,1.36466,0.97739,0.01999,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,23618.5,1.05525,0.80587,0.01172,0.81209,0.67238,0.76405,0.49834,1.36458,0.97391,0.01998,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,23896.1,1.04674,0.79695,0.01159,0.81111,0.67184,0.76401,0.49922,1.36483,0.97005,0.01997,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,24172.3,1.04112,0.78245,0.01157,0.81665,0.67081,0.76476,0.50012,1.36553,0.96612,0.01998,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,24447.8,1.04094,0.79894,0.01154,0.81118,0.67641,0.7664,0.50141,1.36542,0.96402,0.01998,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,24723.9,1.0319,0.78896,0.01128,0.8197,0.67192,0.76709,0.50211,1.36498,0.95946,0.01999,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,25001.1,1.02034,0.77564,0.0112,0.81393,0.67743,0.76784,0.50205,1.36272,0.95914,0.01995,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,25297.1,1.02659,0.61441,0.01414,0.8118,0.67739,0.76691,0.50194,1.36104,0.95937,0.01993,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,25575.5,1.00978,0.58506,0.01364,0.81292,0.6786,0.76711,0.50314,1.35982,0.95798,0.0199,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,25847.2,0.9954,0.57376,0.01323,0.814,0.68142,0.76834,0.50436,1.36018,0.95153,0.01991,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,26121.4,0.98357,0.56038,0.01306,0.81083,0.68331,0.76877,0.50508,1.36087,0.95006,0.01991,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,26395.2,0.96613,0.54501,0.01276,0.81772,0.68062,0.76919,0.50531,1.35946,0.94897,0.01986,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,26668.1,0.9579,0.5351,0.01268,0.81381,0.68247,0.77001,0.50629,1.35882,0.94598,0.01983,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,26940.5,0.94684,0.52575,0.01246,0.8119,0.68168,0.7695,0.50672,1.35789,0.94614,0.01979,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,27214.5,0.93729,0.51574,0.01224,0.81689,0.681,0.77115,0.50801,1.3586,0.94173,0.01978,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,27487.5,0.92836,0.51043,0.01221,0.82974,0.67286,0.77119,0.50805,1.35907,0.93959,0.01979,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,27761.2,0.91793,0.5034,0.01201,0.8336,0.67105,0.77244,0.50908,1.35831,0.93855,0.01977,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
