epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,16989.3,1.09441,0.83783,0.01239,0.81494,0.6841,0.77315,0.50698,1.34273,0.93989,0.01951,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,17289.5,1.096,0.83522,0.01236,0.81805,0.68474,0.77459,0.50798,1.34159,0.93834,0.01948,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,17589,1.08562,0.82812,0.01218,0.81734,0.68683,0.77424,0.50833,1.33995,0.93584,0.01946,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,17888.1,1.07783,0.81166,0.01213,0.8171,0.68854,0.77453,0.50862,1.33959,0.93386,0.01944,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,18187.6,1.07254,0.79786,0.01202,0.81651,0.69375,0.77499,0.50961,1.33977,0.92792,0.01944,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,18487.1,1.05514,0.7938,0.0117,0.8017,0.70582,0.77581,0.5112,1.3368,0.92645,0.01939,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,18786.6,1.0609,0.77594,0.0118,0.80687,0.70571,0.77756,0.51305,1.33655,0.91872,0.01938,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,19085.6,1.04719,0.78516,0.01167,0.80861,0.70282,0.7767,0.51367,1.3348,0.9189,0.01934,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,19384.8,1.0428,0.77105,0.01164,0.81161,0.70116,0.7775,0.51425,1.33283,0.91954,0.01931,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,19684.6,1.03107,0.7627,0.01142,0.81076,0.70051,0.77682,0.51433,1.33125,0.92104,0.01929,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,19982.7,1.01981,0.74512,0.01129,0.81021,0.70338,0.77679,0.51456,1.32978,0.92008,0.01922,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,20281.5,1.01019,0.73984,0.01115,0.81754,0.70161,0.77796,0.51606,1.32735,0.92083,0.01918,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,20581.2,1.00969,0.73024,0.01107,0.82172,0.70248,0.77856,0.51655,1.32669,0.91974,0.01917,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,20880.9,1.00247,0.72209,0.01104,0.82083,0.7032,0.7787,0.51717,1.32665,0.91941,0.01919,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,21181.2,0.98967,0.70911,0.01085,0.81943,0.7039,0.7783,0.51804,1.32506,0.91935,0.01915,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,21481.1,0.98508,0.70052,0.01077,0.81559,0.70335,0.77884,0.51868,1.32087,0.92438,0.01905,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,21780.7,0.97862,0.695,0.01062,0.82183,0.70147,0.78016,0.51982,1.31976,0.92125,0.01903,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,22079.7,0.96906,0.67685,0.0105,0.81945,0.7045,0.78115,0.52083,1.31933,0.9176,0.01905,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,22378.9,0.97247,0.67329,0.0105,0.81751,0.70385,0.78194,0.52073,1.32039,0.91708,0.01905,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,22678.2,0.95623,0.66444,0.01031,0.82014,0.70458,0.78403,0.52155,1.31894,0.91655,0.01904,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,22978.3,0.9475,0.65339,0.0101,0.82368,0.7031,0.7833,0.52178,1.3189,0.91315,0.01909,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,23278.4,0.93447,0.63824,0.01006,0.82257,0.70394,0.78343,0.52162,1.31916,0.91354,0.01909,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,23577.7,0.93115,0.641,0.00994,0.82515,0.7011,0.78183,0.5218,1.31818,0.91046,0.01908,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,23876.4,0.91639,0.61297,0.00976,0.82909,0.69917,0.78266,0.52231,1.31764,0.91002,0.01909,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,24175.6,0.90923,0.60742,0.00968,0.83032,0.69899,0.78256,0.52341,1.31481,0.91187,0.01905,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,24475.2,0.90514,0.60431,0.00956,0.82753,0.69911,0.78267,0.5238,1.31494,0.9088,0.01905,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,24775.3,0.89459,0.59245,0.00952,0.82897,0.70096,0.78393,0.52407,1.31353,0.90873,0.01904,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,25074.2,0.88126,0.58671,0.00929,0.82635,0.70621,0.78383,0.52432,1.31135,0.90719,0.01901,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,25374,0.88323,0.58613,0.00927,0.82509,0.70417,0.78347,0.52492,1.31047,0.91032,0.01897,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,25673.1,0.86815,0.57164,0.00909,0.83091,0.69684,0.78303,0.52524,1.31199,0.90574,0.01899,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,25972.8,0.8566,0.56448,0.00894,0.82075,0.70759,0.78421,0.52602,1.31358,0.90018,0.01902,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,26271.7,0.84696,0.54455,0.00886,0.81864,0.70769,0.78401,0.52612,1.31142,0.90219,0.019,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,26571.4,0.84946,0.55425,0.00887,0.81947,0.71052,0.78424,0.5268,1.30996,0.90451,0.01896,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,26871.4,0.83744,0.53879,0.00862,0.81771,0.70713,0.7829,0.52667,1.30966,0.90238,0.01897,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,27170.8,0.82419,0.53418,0.00855,0.83052,0.69941,0.78408,0.52734,1.30962,0.90387,0.01898,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,27487.6,0.80804,0.39894,0.01046,0.82181,0.70234,0.78276,0.52692,1.30953,0.90355,0.01898,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,27785.1,0.7871,0.38797,0.01,0.82866,0.69544,0.78186,0.52706,1.30985,0.90359,0.01901,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,28083.1,0.77711,0.37279,0.0097,0.8318,0.69639,0.78323,0.52835,1.30914,0.9039,0.01898,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,28380.6,0.7594,0.365,0.00945,0.82726,0.70168,0.78322,0.52875,1.3098,0.90406,0.01903,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,28678.4,0.74454,0.35077,0.00923,0.82327,0.7021,0.7814,0.52852,1.30833,0.90975,0.019,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,28976.2,0.73367,0.35021,0.00907,0.83856,0.69365,0.78304,0.5291,1.3075,0.91016,0.01901,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,29274.2,0.71974,0.33812,0.00884,0.84116,0.69491,0.78359,0.53003,1.30765,0.91048,0.01901,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,29572.2,0.71009,0.33466,0.00866,0.84192,0.69618,0.78378,0.53049,1.30702,0.91497,0.01899,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,29870,0.70152,0.32334,0.00859,0.84884,0.69076,0.78408,0.53109,1.30554,0.91631,0.01897,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,30166.9,0.69076,0.31565,0.00843,0.84648,0.69068,0.78309,0.53095,1.3069,0.91479,0.01899,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
